Category,Gender,Average_Years_Lasted
Hurdles,Female,14.2
Hurdles,Male,24.761904761904763
Jumping,Female,18.333333333333332
Jumping,Male,17.727272727272727
Long Distance,Female,7.254237288135593
Long Distance,Male,10.675
Middle Distance,Female,11.294117647058824
Middle Distance,Male,23.523809523809526
Multisport Events,Female,19.5
Multisport Events,Male,10.666666666666666
Relay,Female,17.285714285714285
Relay,Male,17.238095238095237
Sprint,Female,21.96969696969697
Sprint,Male,30.927272727272726
Throwing,Female,20.333333333333332
Throwing,Male,18.2
Walking,Female,16.857142857142858
Walking,Male,24.363636363636363
